High price,Low price,High price all time,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,MACD,MACD Signal,MACD Signal Previous Day,Current Price,t_1_price_predicted,t_1_price_actual,error,t_2_price,growth,score,Graham,Altman Z Score,Piotroski score
10388.95,4559.0,10388.95,8414.97,7722.98,8415.63,7716.19,62.92,59.92,59.17,8471.0,8806.29760914016,8695.11,1.2787372343783932,9100.95119968516,7.436562385611613,6.1578251512332205,24927.209613693227,4.68,9.0
227.8,82.05,227.8,179.65,156.73,178.95,156.32,5.39,2.71,2.03,200.0,199.8059880807504,205.08,0.0,206.48503069361283,3.242515346806414,3.242515346806414,307.6099193784232,6.06,8.0
54.05,24.15,769.95,40.05,36.83,39.86,36.75,2.29,2.18,2.15,45.43,50.4798901883627,45.6,10.701513570970835,50.70340145690337,11.607751390938525,0.9062378199676892,71.24016247875913,3.65,8.0
220.0,90.2,238.65,170.4,150.21,170.45,150.02,-0.37,-0.41,-0.41,165.6,156.84758910955563,188.1,0.0,186.4299628869973,12.578480004225415,12.578480004225415,389.986306490369,3.97,8.0
1099.05,444.4,1099.05,743.16,771.17,746.72,772.33,-24.87,-29.06,-30.11,660.25,608.876350031349,737.16,0.0,709.9954774634839,7.534339638543566,7.534339638543566,826.5801685257154,5.38,8.0
258.99,179.55,310.0,221.24,214.92,220.4,214.65,8.38,8.15,8.1,240.2,254.5522328582421,254.53,0.0087348674977656,273.39291802405273,13.818866787698894,13.810131920201128,297.65470263377324,3.62,8.0
271.6,177.0,369.0,210.9,213.95,210.59,213.9,5.66,4.89,4.7,223.5,229.69310086304267,226.03,1.6206259625017352,233.019474447795,4.259272683577184,2.6386467210754483,231.9528917689969,3.15,8.0
335.0,187.05,707.0,234.92,241.26,235.09,241.37,0.56,-0.07,-0.22,231.8,226.48050618922656,238.2,0.0,234.8950480636988,1.335223495987408,1.335223495987408,310.9285737914738,3.18,8.0
432.55,274.0,575.95,359.52,335.17,358.15,334.59,14.4,12.48,12.0,397.85,415.26521446287416,419.52,0.0,443.7563273409701,11.538601820025148,11.538601820025148,543.5038159939634,3.72,8.0
