High price,Low price,High price all time,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,MACD,MACD Signal,MACD Signal Previous Day,Current Price,t_1_price_predicted,t_1_price_actual,error,t_2_price,growth,score,Graham,Altman Z Score,Piotroski score,join_key,cumulative
10388.95,4559.0,10388.95,8414.97,7722.98,8415.63,7716.19,62.92,59.92,59.17,8471.0,8806.532305084325,8695.11,1.2814364060296506,9101.297182535469,7.440646706828814,6.159210300799163,24927.209613693227,4.68,9.0,533095.0___NA__,1654.780171670122
227.8,82.05,227.8,179.65,156.73,178.95,156.32,5.39,2.71,2.03,200.0,199.8883576596744,205.08,0.0,206.56992286181531,3.284961430907672,3.284961430907672,307.6099193784232,6.06,8.0,521216.0___NA__,16.725953368749995
54.05,24.15,769.95,40.05,36.83,39.86,36.75,2.29,2.18,2.15,45.43,50.014203360817845,45.6,9.680270528109308,50.23779904671626,10.582872654008945,0.9026021258996356,71.24016247875913,3.65,8.0,533192.0_KCPSUGIND,3.593618373775549
220.0,90.2,238.65,170.4,150.21,170.45,150.02,-0.37,-0.41,-0.41,165.6,156.91258283385173,188.1,0.0,186.50612949687755,12.62447433386326,12.62447433386326,389.986306490369,3.97,8.0,512597.0_KEYFINSERV,35.10310498290016
1099.05,444.4,1099.05,743.16,771.17,746.72,772.33,-24.87,-29.06,-30.11,660.25,608.981490992164,737.16,0.0,710.1388098300891,7.556048440755644,7.556048440755644,826.5801685257154,5.38,8.0,500265.0_MAHSEAMLES,28.37906529332718
258.99,179.55,310.0,221.24,214.92,220.4,214.65,8.38,8.15,8.1,240.2,254.6230833554264,254.53,0.036570681423167,273.4708844079224,13.851325731857802,13.814755050434634,297.65470263377324,3.62,8.0,502168.0_NCLIND,19.790225313811963
271.6,177.0,369.0,210.9,213.95,210.59,213.9,5.66,4.89,4.7,223.5,229.72730712905465,226.03,1.63575946956362,233.05493704271933,4.275139616429231,2.6393801468656104,231.9528917689969,3.15,8.0,503169.0_RUBYMILLS,4.254669323765301
335.0,187.05,707.0,234.92,241.26,235.09,241.37,0.56,-0.07,-0.22,231.8,226.2966703212414,238.2,0.0,234.7143902609465,1.257286566413493,1.257286566413493,310.9285737914738,3.18,8.0,540497.0_SCHAND,9.800143945560873
432.55,274.0,575.95,359.52,335.17,358.15,334.59,14.4,12.48,12.0,397.85,415.25994834400217,419.52,0.0,443.7618219523474,11.539982896153676,11.539982896153676,543.5038159939634,3.72,8.0,-1.0_UNITEDTEA,28.02536449555001
