High price,Low price,High price all time,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,MACD,MACD Signal,MACD Signal Previous Day,Current Price,t_1_price_predicted,t_1_price_actual,error,t_2_price,growth,score,Graham,Altman Z Score,Piotroski score,join_key,cumulative
690.75,220.55,3048.0,383.39,377.65,384.05,377.76,-2.12,-4.95,-5.66,379.4,356.93637844338645,441.83,0.0,439.0486059177288,15.721825492284884,15.721825492284884,888.4289989920411,2.9,8.0,526881.0_63MOONS,69.454725391489
1607.9,584.85,1607.9,1211.21,1078.21,1205.09,1075.36,45.27,39.42,37.96,1340.0,1420.2389103367286,1447.14,0.0,1561.1568032023547,16.504239044951845,16.504239044951845,1412.5449705230626,5.57,7.0,524075.0_ALBERTDAVD,29.608736097258106
994.0,627.5,1700.0,710.61,768.42,709.92,768.83,3.95,2.4,2.01,739.5,763.5704400525268,808.34,0.0,854.1135401539799,15.498788391342789,15.498788391342789,1196.3622361141297,3.29,4.0,531306.0___NA__,62.73501200275576
1256.6,717.3,1256.6,1098.04,961.86,1092.86,959.21,40.52,40.04,39.92,1227.7,1311.389021350362,1333.38,0.0,1450.3866218547428,18.1385209623477,18.1385209623477,1891.4710388345893,4.11,7.0,500620.0_GESHIP,84.99562484580665
98.25,67.71,98.25,83.71,79.84,83.4,79.73,2.18,1.38,1.18,91.43,88.00232362815558,105.82,0.0,106.9290408050863,16.951811008516124,16.951811008516124,92.44766627665622,3.13,4.0,543918.0_GHCLTEXTIL,17.853577636181747
119.9,45.9,119.9,98.17,82.53,97.74,82.27,3.8,3.37,3.26,110.6,112.10230750288514,122.33,0.0,127.53040982987594,15.307784656307362,15.307784656307362,413.4439581128257,4.17,7.0,532216.0_HBSL,46.02218046758993
1105.5,718.8,1974.0,840.43,914.93,840.48,915.69,6.2,5.94,5.88,851.75,907.4016271760208,963.0,0.0,1053.7252745654264,23.712976174396992,23.712976174396992,1018.2525781946244,2.57,6.0,532859.0_HGS,40.62323399385944
3500.0,2349.0,3500.0,2622.55,2655.35,2609.29,2652.41,106.54,55.33,42.53,2999.0,3019.0586035691385,3332.5,0.0,3457.70072855221,15.295122659293432,15.295122659293432,3551.8891217913883,2.28,5.0,532468.0___NA__,121.79403483843227
214.2,55.26,220.55,164.11,130.4,163.01,129.79,12.89,10.93,10.43,201.5,214.60785627771537,218.34,0.0,236.75698186906448,17.497261473481128,17.497261473481128,483.3724340505983,9.43,7.0,500143.0___NA__,47.64450487854096
628.95,294.7,995.0,446.59,394.55,440.42,392.51,49.32,38.69,36.04,597.95,642.1388718092433,649.68,0.0,710.1777237593909,18.76874717942819,18.76874717942819,1944.130680792832,2.61,5.0,509845.0___NA__,164.0168152587114
318.45,165.05,318.45,251.69,241.8,250.99,241.53,10.88,10.54,10.46,276.0,297.5142653213444,298.88,0.0,327.60761410579016,18.698410907894985,18.698410907894985,627.8196628013494,4.45,7.0,516016.0_SHREYANIND,54.22037718802993
322.2,155.0,322.2,265.11,237.79,263.98,237.24,8.24,5.08,4.29,304.35,312.1375281683067,339.02,0.0,357.737895404178,17.541611764145877,17.541611764145877,1340.7831015865318,2.2,8.0,511333.0_VLSFINANCE,124.34492192279907
