join_key,Current Price,t_2_price,score,cumulative,units,spent,appreciation
-1.0_LAWSIKHO,308.0,419.1388155869647,36.0840310347288,10.587730021749168,197,60676.0,82570.34667063206
540205.0___NA__,4539.95,5944.137687318208,30.92958484825181,-291.4900025735735,11,49939.45,65385.51456050028
544037.0___NA__,1291.0,1724.8906574227062,33.60888128758375,-78.7213656636361,44,56804.0,75895.18892659908
543971.0___NA__,2640.0,3642.2193639691873,37.96285469580255,-205.96528769999364,24,63360.0,87413.2647352605
540678.0_COCHINSHIP,2267.25,3028.4648712161,33.57436856174218,-165.28017958920665,25,56681.25,75711.62178040248
-1.0_ESCONET,298.6,391.3385220922327,31.057776990031044,16.375624972197016,175,52255.00000000001,68484.24136614073
505714.0_GABRIEL,488.05,639.4516165806891,31.021742973197235,4.117536749298132,107,52221.35,68421.32297413373
526367.0_GANESHHOUC,957.2,1246.3763219417078,30.21064792537691,-25.32551628528753,53,50731.600000000006,66057.94506291053
500660.0_GLAXO,2658.6,3457.0119621544977,30.03129324285329,-218.39275555234792,19,50513.4,65683.22728093545
533272.0_JWL,696.85,909.8269346893036,30.56280902479783,-35.66046896131648,74,51566.9,67327.19316700847
-1.0_KDL,1712.55,2359.289336384107,37.76469804584434,-56.05042717058227,37,63364.35,87293.70544621197
538668.0___NA__,459.95,613.0941193005831,33.295818958709226,-0.0050032848455501,122,56113.9,74797.48255467114
543945.0_NETWEB,2756.7,3715.1523568934713,34.76810523065519,-235.06521575836896,21,57890.7,78018.1994947629
531431.0_SHAKTIPUMP,3848.4,5037.915817954469,30.90936020045913,-207.84357249895183,13,50029.200000000004,65492.90563340811
501301.0_TATAINVEST,6573.5,8657.392162945916,31.70140964396313,-306.53300748383737,8,52588.0,69259.13730356733
524200.0_VINATIORGA,1904.0,2571.272983110636,35.0458499532897,-114.25241079365033,31,59024.0,79709.4624764297
-1.0_VINYAS,1033.0,1407.566452111619,36.26006312793986,-69.25852245820148,59,60947.0,83046.42067458552
500238.0_WHIRLPOOL,1999.95,2613.4610538264046,30.67631959931021,-118.67366855642348,26,51998.700000000004,67949.98739948652
