join_key,Current Price,t_2_price,score,cumulative,units,spent,appreciation
526881.0_63MOONS,379.4,439.0486059177288,15.721825492284884,69.454725391489,198,75121.2,86931.6239717103
524075.0_ALBERTDAVD,1340.0,1561.1568032023547,16.504239044951845,29.608736097258102,59,79060.0,92108.25138893892
531306.0___NA__,739.5,854.1135401539799,15.498788391342789,62.73501200275576,100,73950.0,85411.35401539798
500620.0_GESHIP,1227.7,1450.3866218547428,18.1385209623477,84.99562484580665,70,85939.0,101527.063529832
543918.0_GHCLTEXTIL,91.43,106.9290408050863,16.951811008516124,17.853577636181747,884,80824.12000000001,94525.2720716963
532216.0_HBSL,110.6,127.53040982987594,15.307784656307362,46.02218046758993,660,72996.0,84170.07048771811
532859.0_HGS,851.75,1053.7252745654264,23.712976174396992,40.62323399385944,133,113282.75,140145.4615172017
532468.0___NA__,2999.0,3457.70072855221,15.295122659293432,121.79403483843228,24,71976.0,82984.81748525304
500143.0___NA__,201.5,236.75698186906448,17.497261473481128,47.64450487854096,414,83421.0,98017.39049379269
509845.0___NA__,597.95,710.1777237593909,18.76874717942819,164.0168152587114,150,89692.5,106526.65856390864
516016.0_SHREYANIND,276.0,327.60761410579016,18.698410907894985,54.22037718802993,323,89148.0,105817.25935617022
511333.0_VLSFINANCE,304.35,357.737895404178,17.541611764145877,124.34492192279907,275,83696.25,98377.92123614895
