join_key,Current Price,t_2_price,score,cumulative,units,spent,appreciation
533095.0___NA__,8471.0,9101.297182535469,6.159210300799163,1654.780171670122,12,101652.0,109215.56619042563
521216.0___NA__,200.0,206.5699228618153,3.284961430907672,16.725953368749995,275,55000.0,56806.72878699922
533192.0_KCPSUGIND,45.43,50.23779904671626,0.9026021258996356,3.593618373775549,332,15082.76,16678.949283509803
512597.0_KEYFINSERV,165.6,186.50612949687755,12.62447433386326,35.10310498290016,1275,211140.0,237795.3151085189
500265.0_MAHSEAMLES,660.25,710.1388098300891,7.556048440755644,28.37906529332718,191,126107.75,135636.51267754703
502168.0_NCLIND,240.2,273.4708844079224,13.814755050434634,19.790225313811963,962,231072.4,263078.9908004214
503169.0_RUBYMILLS,223.5,233.05493704271933,2.6393801468656104,4.254669323765301,198,44253.0,46144.87753445842
540497.0_SCHAND,231.8,234.7143902609465,1.257286566413493,9.800143945560873,91,21093.8,21359.00951374613
-1.0_UNITEDTEA,397.85,443.7618219523474,11.539982896153676,28.02536449555001,485,192957.25,215224.48364688846
