join_key,Current Price,t_2_price,score,cumulative,units,spent,appreciation
509470.0___NA__,35376.6,37808.01377956885,6.872943639492917,2956.4568763894213,1,35376.6,37808.01377956885
533095.0___NA__,8471.0,9101.297182535469,6.159210300799163,1654.780171670122,4,33884.0,36405.188730141876
523204.0_ABAN,65.53,108.97638083828298,2.120888246002451,450.8953809421387,165,10812.45,17981.10283831669
508670.0___NA__,4258.5,4775.743912378666,12.146152691761564,411.66743566835993,15,63877.5,71636.15868567998
533302.0_KICL,6479.4,6774.539642673238,3.349077115877409,269.56100957413526,3,19438.199999999997,20323.61892801971
500780.0_ZUARIIND,409.8,452.8091861837368,10.495165003352074,243.4067993776789,130,53274.0,58865.19420388578
526725.0_SANDESH,1553.05,1658.3702041520291,6.781507623838845,180.4877489418972,22,34167.1,36484.14449134465
509845.0___NA__,597.95,710.1777237593909,18.76874717942819,164.0168152587114,160,95672.0,113628.43580150254
526971.0___NA__,335.15,359.3560867263734,6.425893850555678,163.01971776805777,98,32844.7,35216.89649918459
533303.0_BFINVEST,698.3,798.7445383148525,14.384152701539826,159.08282698189248,105,73321.5,83868.17652305952
531310.0___NA__,275.0,280.3606486599052,1.9493267854200604,140.3184372558369,36,9900.0,10092.983351756586
523384.0_MAHAPEXLTD,169.05,197.73933740187053,14.74033980654535,130.22464696654225,444,75058.20000000001,87796.26580643053
511333.0_VLSFINANCE,304.35,357.737895404178,17.541611764145877,124.34492192279907,293,89174.55,104817.20335342415
524480.0___NA__,598.85,621.1860137915262,3.2695524035211387,122.48375771230324,28,16767.8,17393.208386162732
532468.0___NA__,2999.0,3457.70072855221,15.295122659293432,121.79403483843228,26,77974.0,89900.21894235745
509945.0___NA__,933.0,1054.655256967957,4.928871313388081,111.32431171365096,27,25191.0,28475.69193813484
539177.0_AIIL,1131.55,1370.6453953608443,14.73712040835474,92.0123679880544,66,74682.3,90462.59609381574
500620.0_GESHIP,1227.7,1450.3866218547428,18.1385209623477,84.99562484580665,75,92077.5,108778.9966391057
526881.0_63MOONS,379.4,439.0486059177288,15.721825492284884,69.454725391489,211,80053.4,92639.25584864078
